description,effective_domain_size,intersection_size,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size
Developmental Biology,7340,204,Developmental Biology,REAC:R-DRE-1266738,0.0008739237830980868,['REAC:0000000'],0.0509617786660005,query_1,4003,0.6710526315789473,True,REAC,304
Axon guidance,7340,156,Axon guidance,REAC:R-DRE-422475,0.005106994555228366,['REAC:R-DRE-9675108'],0.0389707719210592,query_1,4003,0.6782608695652174,True,REAC,230
Nervous system development,7340,156,Nervous system development,REAC:R-DRE-9675108,0.005106994555228366,['REAC:R-DRE-1266738'],0.0389707719210592,query_1,4003,0.6782608695652174,True,REAC,230
Formation of ATP by chemiosmotic coupling,7340,17,Formation of ATP by chemiosmotic coupling,REAC:R-DRE-163210,0.00806008271972547,['REAC:R-DRE-163200'],0.004246814888833375,query_1,4003,1.0,True,REAC,17
Cristae formation,7340,17,Cristae formation,REAC:R-DRE-8949613,0.00806008271972547,['REAC:R-DRE-1592230'],0.004246814888833375,query_1,4003,1.0,True,REAC,17
G-protein mediated events,7340,28,G-protein mediated events,REAC:R-DRE-112040,0.01838873749838023,['REAC:R-DRE-111885'],0.0069947539345490885,query_1,4003,0.875,True,REAC,32
Mitochondrial biogenesis,7340,22,Mitochondrial biogenesis,REAC:R-DRE-1592230,0.024476676863724674,['REAC:R-DRE-1852241'],0.005495878091431427,query_1,4003,0.9166666666666666,True,REAC,24
PLC beta mediated events,7340,27,PLC beta mediated events,REAC:R-DRE-112043,0.029765219536875036,['REAC:R-DRE-112040'],0.006744941294029478,query_1,4003,0.8709677419354839,True,REAC,31
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",7340,56,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",REAC:R-DRE-163200,0.1867705384414125,['REAC:R-DRE-1428517'],0.013989507869098177,query_1,4003,0.7272727272727273,False,REAC,77
Metabolism,7340,874,Metabolism,REAC:R-DRE-1430728,0.23802797141156706,['REAC:0000000'],0.2183362478141394,query_1,4003,0.5811170212765957,False,REAC,1504
Ca-dependent events,7340,19,Ca-dependent events,REAC:R-DRE-111996,0.41790350000657794,['REAC:R-DRE-112043'],0.004746440169872595,query_1,4003,0.8636363636363636,False,REAC,22
The citric acid (TCA) cycle and respiratory electron transport,7340,85,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-DRE-1428517,0.4849791796277229,['REAC:R-DRE-1430728'],0.021234074444166876,query_1,4003,0.6746031746031746,False,REAC,126
Metabolism of lipids,7340,308,Metabolism of lipids,REAC:R-DRE-556833,0.49147786997716114,['REAC:R-DRE-1430728'],0.07694229328003997,query_1,4003,0.6074950690335306,False,REAC,507
Ketone body metabolism,7340,10,Ketone body metabolism,REAC:R-DRE-74182,0.5675613833515395,['REAC:R-DRE-556833'],0.002498126405196103,query_1,4003,1.0,False,REAC,10
PKA activation,7340,13,PKA activation,REAC:R-DRE-163615,0.6347468324143216,['REAC:R-DRE-111931'],0.003247564326754934,query_1,4003,0.9285714285714286,False,REAC,14
PKA-mediated phosphorylation of CREB,7340,13,PKA-mediated phosphorylation of CREB,REAC:R-DRE-111931,0.6347468324143216,['REAC:R-DRE-111933'],0.003247564326754934,query_1,4003,0.9285714285714286,False,REAC,14
DAG and IP3 signaling,7340,18,DAG and IP3 signaling,REAC:R-DRE-1489509,0.6693931537241412,['REAC:R-DRE-9006925'],0.0044966275293529855,query_1,4003,0.8571428571428571,False,REAC,21
EPH-Ephrin signaling,7340,48,EPH-Ephrin signaling,REAC:R-DRE-2682334,0.7340433218492859,['REAC:R-DRE-422475'],0.011991006744941295,query_1,4003,0.7164179104477612,False,REAC,67
Metabolism of carbohydrates,7340,155,Metabolism of carbohydrates,REAC:R-DRE-71387,0.7453263148313347,['REAC:R-DRE-1430728'],0.0387209592805396,query_1,4003,0.6326530612244898,False,REAC,245
A tetrasaccharide linker sequence is required for GAG synthesis,7340,17,A tetrasaccharide linker sequence is required for GAG synthesis,REAC:R-DRE-1971475,1.0,"['REAC:R-DRE-1638091', 'REAC:R-DRE-1793185']",0.004246814888833375,query_1,4003,0.7391304347826086,False,REAC,23
RHO GTPases activate IQGAPs,7340,6,RHO GTPases activate IQGAPs,REAC:R-DRE-5626467,1.0,['REAC:R-DRE-195258'],0.0014988758431176618,query_1,4003,0.5454545454545454,False,REAC,11
RHO GTPases Activate NADPH Oxidases,7340,15,RHO GTPases Activate NADPH Oxidases,REAC:R-DRE-5668599,1.0,['REAC:R-DRE-195258'],0.0037471896077941546,query_1,4003,0.6,False,REAC,25
RHO GTPases Activate Rhotekin and Rhophilins,7340,3,RHO GTPases Activate Rhotekin and Rhophilins,REAC:R-DRE-5666185,1.0,['REAC:R-DRE-195258'],0.0007494379215588309,query_1,4003,0.75,False,REAC,4
RHO GTPases Activate ROCKs,7340,3,RHO GTPases Activate ROCKs,REAC:R-DRE-5627117,1.0,['REAC:R-DRE-195258'],0.0007494379215588309,query_1,4003,0.6,False,REAC,5
RHO GTPases activate PAKs,7340,12,RHO GTPases activate PAKs,REAC:R-DRE-5627123,1.0,['REAC:R-DRE-195258'],0.0029977516862353237,query_1,4003,0.8571428571428571,False,REAC,14
RHO GTPases Activate Formins,7340,52,RHO GTPases Activate Formins,REAC:R-DRE-5663220,1.0,['REAC:R-DRE-195258'],0.012990257307019736,query_1,4003,0.48148148148148145,False,REAC,108
RHO GTPase Effectors,7340,132,RHO GTPase Effectors,REAC:R-DRE-195258,1.0,['REAC:R-DRE-194315'],0.03297526854858856,query_1,4003,0.5546218487394958,False,REAC,238
RHO GTPases Activate WASPs and WAVEs,7340,23,RHO GTPases Activate WASPs and WAVEs,REAC:R-DRE-5663213,1.0,['REAC:R-DRE-195258'],0.005745690731951037,query_1,4003,0.6216216216216216,False,REAC,37
RHO GTPases activate PKNs,7340,20,RHO GTPases activate PKNs,REAC:R-DRE-5625740,1.0,['REAC:R-DRE-195258'],0.004996252810392206,query_1,4003,0.4166666666666667,False,REAC,48
RMTs methylate histone arginines,7340,16,RMTs methylate histone arginines,REAC:R-DRE-3214858,1.0,['REAC:R-DRE-3247509'],0.003997002248313765,query_1,4003,0.64,False,REAC,25
RIP-mediated NFkB activation via ZBP1,7340,5,RIP-mediated NFkB activation via ZBP1,REAC:R-DRE-1810476,1.0,['REAC:R-DRE-1606322'],0.0012490632025980515,query_1,4003,0.7142857142857143,False,REAC,7
RUNX1 regulates transcription of genes involved in differentiation of HSCs,7340,41,RUNX1 regulates transcription of genes involved in differentiation of HSCs,REAC:R-DRE-8939236,1.0,['REAC:R-DRE-8878171'],0.010242318261304022,query_1,4003,0.5694444444444444,False,REAC,72
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,7340,24,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,REAC:R-DRE-8936459,1.0,['REAC:R-DRE-8878171'],0.005995503372470647,query_1,4003,0.5454545454545454,False,REAC,44
ROS and RNS production in phagocytes,7340,16,ROS and RNS production in phagocytes,REAC:R-DRE-1222556,1.0,['REAC:R-DRE-168249'],0.003997002248313765,query_1,4003,0.5517241379310345,False,REAC,29
RNA polymerase II transcribes snRNA genes,7340,36,RNA polymerase II transcribes snRNA genes,REAC:R-DRE-6807505,1.0,['REAC:R-DRE-73857'],0.008993255058705971,query_1,4003,0.5142857142857142,False,REAC,70
RNA Polymerase III Transcription Initiation From Type 1 Promoter,7340,15,RNA Polymerase III Transcription Initiation From Type 1 Promoter,REAC:R-DRE-76061,1.0,['REAC:R-DRE-76046'],0.0037471896077941546,query_1,4003,0.5357142857142857,False,REAC,28
RNA Polymerase III Transcription Initiation,7340,19,RNA Polymerase III Transcription Initiation,REAC:R-DRE-76046,1.0,['REAC:R-DRE-74158'],0.004746440169872595,query_1,4003,0.5757575757575758,False,REAC,33
RHO GTPases regulate CFTR trafficking,7340,1,RHO GTPases regulate CFTR trafficking,REAC:R-DRE-5627083,1.0,['REAC:R-DRE-195258'],0.0002498126405196103,query_1,4003,0.5,False,REAC,2
RNA Polymerase III Transcription,7340,19,RNA Polymerase III Transcription,REAC:R-DRE-74158,1.0,['REAC:R-DRE-74160'],0.004746440169872595,query_1,4003,0.5757575757575758,False,REAC,33
RNA Polymerase II Pre-transcription Events,7340,46,RNA Polymerase II Pre-transcription Events,REAC:R-DRE-674695,1.0,['REAC:R-DRE-73857'],0.011491381463902073,query_1,4003,0.6133333333333333,False,REAC,75
RNA Polymerase I Transcription,7340,33,RNA Polymerase I Transcription,REAC:R-DRE-73864,1.0,['REAC:R-DRE-74160'],0.00824381713714714,query_1,4003,0.4647887323943662,False,REAC,71
RNA Polymerase I Promoter Opening,7340,12,RNA Polymerase I Promoter Opening,REAC:R-DRE-73728,1.0,['REAC:R-DRE-73854'],0.0029977516862353237,query_1,4003,0.42857142857142855,False,REAC,28
RNA Polymerase I Promoter Clearance,7340,32,RNA Polymerase I Promoter Clearance,REAC:R-DRE-73854,1.0,['REAC:R-DRE-73864'],0.00799400449662753,query_1,4003,0.45714285714285713,False,REAC,70
RNA Pol II CTD phosphorylation and interaction with CE,7340,17,RNA Pol II CTD phosphorylation and interaction with CE,REAC:R-DRE-77075,1.0,['REAC:R-DRE-73857'],0.004246814888833375,query_1,4003,0.6071428571428571,False,REAC,28
RIPK1-mediated regulated necrosis,7340,8,RIPK1-mediated regulated necrosis,REAC:R-DRE-5213460,1.0,['REAC:R-DRE-5218859'],0.0019985011241568824,query_1,4003,0.4444444444444444,False,REAC,18
RNA Polymerase II Transcription,7340,382,RNA Polymerase II Transcription,REAC:R-DRE-73857,1.0,['REAC:R-DRE-74160'],0.09542842867849113,query_1,4003,0.5823170731707317,False,REAC,656
RAF/MAP kinase cascade,7340,125,RAF/MAP kinase cascade,REAC:R-DRE-5673001,1.0,['REAC:R-DRE-5684996'],0.031226580064951288,query_1,4003,0.6009615384615384,False,REAC,208
RAB geranylgeranylation,7340,35,RAB geranylgeranylation,REAC:R-DRE-8873719,1.0,['REAC:R-DRE-597592'],0.00874344241818636,query_1,4003,0.5833333333333334,False,REAC,60
RAF activation,7340,15,RAF activation,REAC:R-DRE-5673000,1.0,['REAC:R-DRE-5673001'],0.0037471896077941546,query_1,4003,0.7142857142857143,False,REAC,21
Prostanoid ligand receptors,7340,3,Prostanoid ligand receptors,REAC:R-DRE-391908,1.0,['REAC:R-DRE-391903'],0.0007494379215588309,query_1,4003,0.42857142857142855,False,REAC,7
Prostacyclin signalling through prostacyclin receptor,7340,9,Prostacyclin signalling through prostacyclin receptor,REAC:R-DRE-392851,1.0,['REAC:R-DRE-418346'],0.0022483137646764927,query_1,4003,0.4090909090909091,False,REAC,22
Prolonged ERK activation events,7340,9,Prolonged ERK activation events,REAC:R-DRE-169893,1.0,['REAC:R-DRE-187687'],0.0022483137646764927,query_1,4003,0.5294117647058824,False,REAC,17
