description,effective_domain_size,intersection_size,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size
"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",14485,2318,cytoplasm,GO:0005737,4.900313498237712e-64,"['GO:0005622', 'GO:0110165']",0.38504983388704317,query_1,6020,0.5217195588566284,True,GO:CC,4443
"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",17954,1430,anatomical structure development,GO:0048856,1.887760984745209e-39,['GO:0032502'],0.17989684237010944,query_1,7949,0.5681366706396503,True,GO:BP,2517
"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",17954,1484,developmental process,GO:0032502,1.2729197771437597e-38,['GO:0008150'],0.18669014970436532,query_1,7949,0.5636156475503228,True,GO:BP,2633
"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",17954,1132,multicellular organism development,GO:0007275,2.764645348319512e-32,"['GO:0032501', 'GO:0048856']",0.1424078500440307,query_1,7949,0.5734549138804458,True,GO:BP,1974
"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",14485,2416,membrane,GO:0016020,1.1877527597349104e-31,['GO:0110165'],0.40132890365448504,query_1,6020,0.484071328391104,True,GO:CC,4991
"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",17954,948,system development,GO:0048731,4.254815737674627e-27,"['GO:0007275', 'GO:0048856']",0.11926028431249214,query_1,7949,0.575591985428051,True,GO:BP,1647
"""Binding to a protein."" [GOC:go_curators]",22576,3417,protein binding,GO:0005515,4.647487988548429e-22,['GO:0005488'],0.35994943642684085,query_1,9493,0.46898160856437004,True,GO:MF,7286
"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",17954,760,cellular developmental process,GO:0048869,1.7775466742558947e-20,"['GO:0009987', 'GO:0032502']",0.09560951063026796,query_1,7949,0.5735849056603773,True,GO:BP,1325
"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",17954,759,cell differentiation,GO:0030154,2.362587606599037e-20,['GO:0048869'],0.09548370864259656,query_1,7949,0.573262839879154,True,GO:BP,1324
"""The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."" [GOC:ceb, GOC:mah, ISBN:0198506732]",22576,6670,binding,GO:0005488,1.592156680859724e-18,['GO:0003674'],0.7026229853576319,query_1,9493,0.44204387302008086,True,GO:MF,15089
"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",17954,625,anatomical structure morphogenesis,GO:0009653,3.9800945657906356e-18,"['GO:0032502', 'GO:0048856']",0.07862624229462825,query_1,7949,0.5808550185873605,True,GO:BP,1076
"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]",17954,562,cell development,GO:0048468,4.8410006877047474e-18,"['GO:0030154', 'GO:0048856', 'GO:0048869']",0.07070071707132973,query_1,7949,0.5897166841552991,True,GO:BP,953
"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",17954,1477,multicellular organismal process,GO:0032501,9.456431495922086e-18,['GO:0008150'],0.1858095357906655,query_1,7949,0.5224619738238415,True,GO:BP,2827
"""A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle."" [GOC:dos, GOC:mah]",14485,508,organelle membrane,GO:0031090,1.790351119089421e-17,"['GO:0016020', 'GO:0043227']",0.08438538205980066,query_1,6020,0.5600882028665931,True,GO:CC,907
"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]",14485,635,endomembrane system,GO:0012505,6.284209910799075e-17,['GO:0110165'],0.10548172757475083,query_1,6020,0.5390492359932089,True,GO:CC,1178
"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",17954,668,animal organ development,GO:0048513,6.797688224740369e-17,['GO:0048856'],0.08403572776449868,query_1,7949,0.5704526046114432,True,GO:BP,1171
"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]",17954,367,neurogenesis,GO:0022008,2.5676566566950326e-14,"['GO:0007399', 'GO:0030154']",0.04616932947540571,query_1,7949,0.610648918469218,True,GO:BP,601
