Gene	Log2 Fold Change	p-value
ENSDARG00000096697	-4.139246865495826	1.5562790823988736e-103
LOC108190407	-2.5124244210400217	4.157485499321482e-94
ENSDARG00000095925	-5.609328915419421	6.634221483460312e-73
si:dkey-239j18.2	-5.112486764401705	8.939452332748688e-73
rccd1	-3.115850966014772	9.22100832113443e-69
zgc:174153	-3.6261698448145143	1.5465322810519958e-67
stk35	1.6233603062321411	7.567008806288001e-61
ENSDARG00000096967	-5.760497488506234	2.342112253137798e-58
cdx4	-4.748242513677481	1.9828360718767517e-55
ctsll	-2.9890194352809627	5.620433569129343e-55
ENSDARG00000093061	-6.711063317240504	9.690313064133012e-55
aldob	1.1476123087034202	3.6740655813401985e-54
LOC101884253	-2.974223751094908	1.3028217920462643e-51
ENSDARG00000111734	-4.425186599877208	1.3731040804580866e-51
cisha	2.2312482071296147	6.775956201634631e-51
rbp2a	1.319908791395381	6.685906542067995e-50
crygm2d11	1.558899464167795	1.6160280114231874e-49
sgk1	1.506169143351945	4.098890727184243e-49
dedd1	1.1202412574699718	4.148029387224293e-49
pdk2a	1.8343897474191588	7.825617683534125e-49
egr1	1.7316880575419125	2.2859658403694805e-47
tuft1a	2.001417579983324	2.385318951349855e-47
ENSDARG00000105592	2.279300898770759	3.891437650830434e-47
ENSDARG00000078210	1.518808224190789	7.423149468543944e-47
eif4ebp3	1.315318527239134	1.2907255833141874e-46
krt99	-2.720440466242127	4.74427077493965e-45
scp2a	1.3668679786678792	5.874083376220025e-45
acox1	2.2196369110585406	1.2299057598944498e-44
dbpa	1.277437103851317	2.571784895327005e-44
urahb	-3.795462761939405	3.3748135675445564e-44
rcvrn2	1.364531923673229	7.535400982955718e-44
LOC100535393	1.7361127158432643	9.685449164309336e-44
nupr1a	1.5164561712281	1.084435429592865e-43
hspb1	-2.52594096302571	1.1812738382691095e-43
si:ch211-255g12.6	1.5600027031745536	2.032880998819206e-43
tdh	1.9152779238577597	2.332628966409058e-43
prtga	-2.4062179828228967	2.5720720890972885e-43
chac1	1.487354199877787	1.3334312491419626e-42
si:ch73-141c7.1	1.796113155414303	4.9960835139309417e-42
ENSDARG00000111875	-4.0829546571553745	7.128439510568116e-42
si:dkey-31b16.11	-1.5235442500429213	8.9597751717444e-42
aldocb	1.3203242166109876	1.169313449044351e-41
fbp1b	1.3636595526434616	2.015857089270267e-41
bhlhe40	1.7598791085167005	2.4730882200304953e-41
ctslb	-2.456225377686609	2.835826286561696e-41
gabra4	1.5053346792222613	3.08215672915639e-41
LOC568656	-2.6160728072882367	3.7029641311593873e-41
ENSDARG00000098530	-1.393072578356871	3.9897290215149433e-41
tkta	1.5036583985277199	6.280648894712436e-41
lft1	-5.788512708039948	6.702877576812405e-41
prkchb	-2.8601480142096762	1.3010783611446839e-40
ifitm1	1.9982014595718014	1.3457332402998375e-40
tob1b	1.4080524131246783	2.484562259638083e-40
myh11a	1.6147347551074267	3.2801918104953843e-40
cfd	2.2998373744666525	6.129534731684117e-40
fam13b	1.6557040512200882	7.48545067308097e-40
vox	-2.7351526099956205	2.374549561538641e-39
faxdc2	1.4593927872034105	6.53354506505097e-39
espn	1.4647837334573282	8.318640473857867e-39
igfbp1a	1.2963184194123398	2.606845946119097e-38
crebrf	1.6701116954227904	2.628245768488909e-38
foxp3b	-3.1012441217801237	3.1233749144490146e-38
eif4ebp3l	1.3545047541563442	3.2783592749507035e-38
zgc:153704	1.11564004771406	3.41214939975558e-38
nfkbiaa	1.6630081771837448	4.90108053779284e-38
kiaa1549la	1.8928592201170567	7.31376611807307e-38
sh3bp1	-2.9026649182664697	7.502845260404489e-38
eno2	2.1033810955542607	1.116169475316897e-37
tnnt1	1.916077309467957	3.165095865129946e-37
bdnf	1.8495707180411909	3.3994528053350667e-37
ENSDARG00000117663	-1.526096467884464	6.466687565053449e-37
nxnl1	1.4358858275391528	8.134435010500176e-37
si:ch211-195b15.8	2.0708201739425744	8.738629359268986e-37
chka	1.6275224091839353	1.0501938522267376e-36
ENSDARG00000115978	-2.3481354524300877	1.193293714229355e-36
ulk2	2.0356474626560854	1.5846473124211796e-36
mknk2b	1.201616725939461	2.4831607502117205e-36
srd5a2a	1.0532549934994533	3.6124977413725697e-36
rgs16	1.5847307367362293	3.7107111285360666e-36
ENSDARG00000117453	-3.8348556027512366	3.922393413975895e-36
ctsc	-2.675871189308851	4.0182064867356614e-36
prph2a	1.419282007333496	6.442670859703877e-36
ENSDARG00000117429	-3.7158271103428744	8.125114519393013e-36
pik3ip1	1.3332609463063942	8.32989314347401e-36
hbbe1.1	-0.9939899957367316	8.853536421666207e-36
mylipa	1.3846748559305733	8.85709423726059e-36
sesn1	1.124117696419423	1.1167372322822476e-35
laptm4b	1.4521639182045019	1.1417909555249598e-35
ephx2	1.9340726310736858	1.5069330813399175e-35
slc1a9	1.809074883332079	1.5298423857869016e-35
lpla	1.157054670195829	1.9625054027436118e-35
nr1d2a	2.13716259654717	2.4601487375252017e-35
dtna	-2.5096854446500396	4.915287812881623e-35
ENSDARG00000094842	-1.9876113006401925	5.199938006176283e-35
calcoco1a	1.4561410742120144	5.354161540572489e-35
gadd45ab	1.3755561464511896	5.903498917085675e-35
pvalb8	1.564609997525129	6.180019054323135e-35
pcdh1g32	-3.465607040478269	6.701646800793257e-35
soul5	1.6133665844899208	8.000601995110835e-35
scg2b	1.719009251015485	8.866086607227109e-35
atp1a1a.4	1.5364198709452883	9.282844902495239e-35
smc1a	1.9891490587198137	1.1374867972594239e-34
cldn15la	1.1169040776364774	1.2019077444181422e-34
h1-10	1.2814464317141412	2.2654079613276653e-34
nr1d2b	1.507893724508039	2.3674842340440674e-34
ENSDARG00000105670	1.838397438716875	2.582727868667052e-34
sult2st2	1.0704168143420842	2.927325179773773e-34
SAMD4B	1.8409407799114226	4.553030800129212e-34
tcea3	2.028210572915568	4.575610889839638e-34
trim63a	1.1348810540824164	4.680185087937235e-34
zp2.6	-3.3410145287101054	5.271525720553502e-34
osm	-inf	9.056197869916975e-34
lmod1b	1.2280542755717032	1.6191328527979297e-33
cyp2ad3	1.40533026042347	1.7242654512349982e-33
map1lc3cl	1.9177671117061674	2.0610890101678587e-33
si:dkey-6n6.1	2.310032615814855	2.064393610776512e-33
LOC564220	2.0088014274633763	2.090908338881832e-33
ENSDARG00000105421	-1.49541340229402	2.348220776032626e-33
trim63b	1.3988804687702925	2.3768248737205063e-33
map7a	1.5843671416552036	2.583330901198693e-33
pah	1.768483725328469	2.8021908336555314e-33
mmp30	1.3817159002038775	2.837809374424478e-33
fbln7	2.112154243029098	4.009444051718703e-33
ENSDARG00000101501	1.8193053977335192	4.244416168744342e-33
hpdb	2.3700503218579985	4.433510751916678e-33
LOC110437730	2.125923151176028	4.63163595215331e-33
si:dkey-164f24.2	1.1405584029670917	5.567685493289201e-33
ppp1r18	2.3467383929684256	5.9959514820407315e-33
cebpd	1.7840307839554144	6.935714725370888e-33
aqp9b	1.7822887569719867	7.756233860623246e-33
ckmt2b	1.996805176105287	1.0382108136057007e-32
phb2a	-1.6738832352992135	1.1471598691795955e-32
ada	1.2552168077507462	1.1922059837870702e-32
cdh24	2.494760426803779	1.4075223435635204e-32
LOC795984	-inf	2.0478182029190517e-32
mcl1a	1.5733671841442098	2.4828639246423343e-32
ENSDARG00000115819	-8.434448108719836	2.932262985861696e-32
ENSDARG00000115120	-2.522142311880962	5.737741787943224e-32
spink2.1	1.3960919080578769	6.483484831095767e-32
diabloa	1.4326843246357712	8.790699516210565e-32
scn4ab	1.906849220871374	9.958346067678298e-32
ENSDARG00000100221	4.012911167355349	1.5653489153536442e-31
slc13a1	1.7607310548443829	1.8671122712102312e-31
slc6a1a	1.3682438485119732	2.00433359679073e-31
stmn4l	1.642757940585469	2.652221406517747e-31
ndrg1b	2.178190914023886	3.416442926564294e-31
sik1	1.787495998337514	4.342754125591705e-31
ldhbb	1.9191659374479508	6.619811998024923e-31
slc25a43	1.8840200677272236	7.68423674850114e-31
synm	2.121435476505652	8.416811131395912e-31
kcnip1b	1.3495399320831123	9.867378694274073e-31
LOC568037	1.7743480664748772	1.1340481211814077e-30
ampd1	2.1710945775763775	1.2577682919614095e-30
irs2a	1.7411790939947116	1.4049395695465998e-30
lars2	-2.430019487439655	2.3696080476796534e-30
aoc2	1.0821363397758228	2.4481862168353878e-30
myha	-3.705730532985751	3.2518602493578326e-30
ncaldb	1.4116024017103315	3.5289343540280414e-30
ENSDARG00000117820	-1.8586975190198192	5.032488518150269e-30
slc22a2	1.2820738328031982	5.733350856712841e-30
si:ch211-195b13.1	1.5268125311136667	5.8208212095715386e-30
si:dkey-14d8.6	2.371295706229972	6.567042173764598e-30
eef1a1a	1.5077968908332005	6.776190039656518e-30
ENSDARG00000104418	1.4793863592256578	8.061137088167881e-30
calcoco1b	1.9338179646669162	8.99113678239344e-30
serpinb1	1.2323752311093663	1.1344876717929478e-29
rims2b	1.548847086116644	1.240524059535059e-29
ip6k2b	1.5383727066182753	1.3118144712352762e-29
pdzd7a	-2.678109471004004	1.3440506793501173e-29
si:ch211-113a14.27	-4.334314925824912	1.3481712518358323e-29
ucp3	2.2046231368956306	1.391420754749595e-29
camk1ga	1.2459101934805272	1.4733360104755986e-29
stk17al	1.3073395936062528	1.592280494208078e-29
dusp6	1.5769147765774758	1.6193624784472111e-29
glud1b	1.8200281131720755	1.660901644086303e-29
crygm2f	2.0932267385559875	1.792797595046385e-29
samsn1a	1.8963605959655008	1.8621795472628962e-29
rgs5a	1.5032133439649107	2.2264784760232743e-29
ccdc125	1.5539029674064466	2.3476810055442246e-29
rgcc	1.6608643965686596	2.698197219407236e-29
cyp4t8	1.4856650775912346	3.289997457368077e-29
ctss2.1	-1.9919009362706621	3.4335005244852656e-29
sesn2	1.4975347607623852	4.185954490674604e-29
LOC795051	1.5301287372241907	4.2399176986455664e-29
adipor2	1.471676194517152	6.342548997628338e-29
ENSDARG00000099475	-3.591675562944602	7.24964075721071e-29
crip1	1.5672230088994836	7.365080869416734e-29
si:ch211-103n10.5	1.6067903500824015	7.422363524026575e-29
ENSDARG00000117210	-3.3455342768709277	8.219129195347193e-29
szl	-2.3565473753202344	1.9168215225609532e-28
trnP	1.7273313296619721	1.9170668545891468e-28
pck1	2.0779767372464266	2.079951225657714e-28
ly75	1.4375977410756091	3.1308589753879086e-28
ENSDARG00000097849	-3.120363754002519	3.21606693102144e-28
si:dkey-92j12.5	1.7819087059819751	3.234256637810075e-28
ly6pge	1.9866197730445594	3.5489701629818014e-28
arrdc3a	1.5015684564905976	3.9935691087511007e-28
dusp2	1.802938718135396	4.40280852060926e-28
ptgdsb.1	1.204395733528757	4.7910122618265915e-28
avpr1aa	-3.2201785156383136	5.017178920178962e-28
si:cabz01083442.1	1.1836130721836533	5.034513754667619e-28
cry1b	1.9471966438626858	5.192656442700947e-28
grid1b	1.6924050399499637	5.413550328036046e-28
si:ch211-214p16.1	1.6016598984639046	5.703376603493233e-28
kbtbd12	1.8196686717830806	6.42705649379776e-28
ENSDARG00000099695	1.3273437666876764	6.664618627333253e-28
myhb	1.414802815347813	7.5445695482386515e-28
s100a1	-2.0399954904781143	7.613680261054677e-28
clic5b	2.0916269058551547	8.027229084983142e-28
clul1	1.3352895506035047	8.047811904430358e-28
mybpc2a	1.0136899270934343	8.442855791693466e-28
si:dkey-26g8.5	-2.0329057150665117	8.470467402940303e-28
rbm25a	2.6270564565445267	9.154255611172908e-28
eps8l2	1.570828722861691	9.679037838115372e-28
dhrs13a.2	1.6924170802217844	1.1808860230918808e-27
ENSDARG00000117554	1.7741196998358155	1.261286980207059e-27
abat	0.9767374295186976	1.3075261341815543e-27
pkma	1.3568448827691004	1.589083722907224e-27
lrit3a	1.8322980401467035	1.7166678518743806e-27
